name,rasa,virya,vipaka,aggravates_dosha,pacifies_dosha,region,season
Hot tea (Garam Chai),rasa,pungent,heating,aggravates_ Pitta,pacifies_ Vata,abdomen,winter
Instant coffee,Rasa,Bitter,Pungent,Vata,Pitta,Central Nervous System,All Seasons
Espreso coffee,bitter,hot,pungent,vata++,kapha--,digestive,autumn-winter
Iced tea,,,,,,,
Raw mango drink (Aam panna),sweet,cooling,sweet,Pitta,Kapha,Digestive,Summer
Fruit Punch (with fresh juices),rasa,Madhura,Katu,Prakriti Shamak,Kapha Prakriti Vridhak,Rasayana,All Seasons
Fruit Punch (with squashes),,,,,,,
Lemonade,sweet,cooling,sour,Pitta,Kapha,Oral cavity,Summer
Lem-o-gin,Katu,Tikta,Madhura,Pitta,Kapha,Abdomen,Autumn
Cumin infused water (Jeere/Zeere ka pani),rasa,Katu,Vipak,Aggravates Kapha,Pacifies Kapha,Abdomen,Summer
Coco pine cooler,,,,,,,
Summer cooler,Rasa,Katu,Madhura,Pitta,Kapha,Sharira,Grishma
Hot cocoa,sweet,heating,sweet,vata+ Pitta++,Kapha-,central,winter
Cold coffee with ice cream,Rasa: Tikta (Bitter),Virya: Shita (Cooling),Vipaka: Madhura (Sweet),aggravates_dosha: Kapha,pacifies_dosha: Pitta,region: Head,season: Winter
Banana milkshake (Kele milkshake),Sweet,cooling,sweet,increases Kapha,decreases Pitta,stomach,summer
Mango milkshake (Aam milkshake),sweet,cooling,sweet,increases Pitta,decreases Vata and Kapha,Digestive,Summer
Pineapple milkshake (Ananas milkshake),sweet,heating,sweet,aggravates_Kapha,pacifies_Vata,digestive,summer
Orange milkshake (Narangi milkshake),sweet,heating,sweet,Pitta,Kapha,Digestive,Summer
Egg nog,Sweet,Heating,Pungent,Vata+Pitta++,Kapha-,Chest,Winter
Sweet Lassi (Meethi lassi),Sweet Lassi (Meethi lassi): sweet,cooling,sweet,increases Kapha,decreases Pitta,Abdomen,Summer
Lassi (salted),,,,,,,
Cheese and chilli sandwich ,rasa,tikta,katu,Vata+Pitta++Kapha-,Pitta-,Lung,Autumn
Egg sandwich (Ande ka sandwich),,,,,,,
Cucumber sandwich (Kheere ka sandwich),rasa,Madhura (sweet),Sheeta (cooling),Aggravates - Kapha,Pacifies - Pitta,Region - Stomach,Season - All Seasons
Cheese and pineapple sandwich (Cheese aur ananas ka sandwich),rasa,tikta,madhura,aggravates_kapha,pacifies_vata,antarang,ritu (harit-kesar)
Cheese and tomato sandwich (Cheese aur tamatar ke sandwich),,,,,,,
Chicken sandwich,rasa,Katu,Vipak,Aggravates_Kapha,Pacifies_Vata,Head,Summer
Peanut and tomato sandwich (Moongfali aur tamatar ka sandwich),,,,,,,
Rainbow sandwich,rasa,madhura,vipakasweet,aggravates_kapha,pacifies_vata,abdomen,all_seasons
Club sandwich ,sweet,hot,sour,Vata&Kapha,Pitta,Lungs,Summer
Vegetarian club sandwich,sweet,mild,sweet,Vata+Pitta++,Kapha-,Lung,Summer
Pin wheel sandwich,,,,,,,
Carrot apple sandwich (Gajar aur seb ka sandwich),,,,,,,
Salami sandwich,salt,katu,madhura,vata+kapha,pitta-,stomach,autumn-winter
Vegetable and mayonnaise sandwich,rasa,tikta,madhura,ajnana,kapha,sarira,all_seasons
Egg and tomato sandwich (Ande aur tamatar ka sandwich),,,,,,,
Sweet open sandwich,sweet,susku,madhur,kapha,Pitta,Urdhvaanga,All Seasons
Mushroom and cheese sandwich (toasted),,,,,,,
Cheese and tomato sandwich (toasted) (Cheese aur tamatar ke sandwich (toasted)),,,,,,,
Pea potato sandwich (toasted) (Matar aloo ka sandwich),rasa,Madhura,tikta,aggravates_Kapha,pacifies_Vata,Digestive,Winter
Paneer pea sandwich (toasted) (Paneer matar ka sandwich),,,,,,,
Chicken sandwich (toasted),,,,,,,
Pea keema sandwich (toasted) (Matar aur keema ka sandwich),rasa,Katu,Viruddhak,Vata+Pitta++,Kapha-,Stomach,Winter
Classic club sandwich,rasa,tikta,madhura,aggravates_kapha,pacifies_vata,throat,all_years
Sesame toast,rasa,tikta (bitter),ushna (heating),aggravates_kapha,pacifies_vata,head,autumn
Cracked wheat porridge (Meetha daliya),Sweet,Cooling,Sweet,Vata&Kapha,Pitta,Digestive,Winter
Semolina porridge (Suji/Rava daliya),rasa,Tikta (Bitter),Sheeta (Cold),aggravates_Kapha,pacifies_Vata,stomach,winter
Oatmeal Porridge,sweet,cooling,sweet,Vata&Kapha,Pitta,Digestive,Winter
Cornflakes with milk,,,,,,,
Rice flakes (Chiwda/Aval),sweet,heating,sweet,vata,pacifies kapha,head & chest,summer
Wheat flakes,sweet,heavy,sweet,Vata+Pitta++,Kapha-,Head/neck,Winter
Murmura (Puffed rice),rasa,Vitatapana,Katu,Vata,Pitta,Head,Summer
Puffed wheat (Murmure/Moori),rasa,Katu (Pungent),Ushna (Heating),Vata,Pitta,Head & Neck,Winter
Boiled egg (Ubla anda),rasa,tikta,katu,vata,kapha,pratisara,grishma
Fried Egg ,Katu,Ushna,Madhura,Pitta,Kapha,Abdomen,All Seasons
Poached egg,,,,,,,
Scrambled egg (Ande ki bhurji),rasa,Katu (Pungent),Usna (Warming),Vata,Pitta,Stomach,Spring
Baked egg ,sweet,heating,pungent,aggravates Vata & Kapha,pacifies Kapha,Digestive System,Summer
Plain omelette/omlet,,,,,,,
Stuffed egg omelette/omlet,rasa,Katu,Viruddhak,Vata+Pitta++,Kapha-,Chest,Winter
Pancake,sweet,heating,sweet,aggravates_Pitta,pacifies_Kapha,stomach,all_seasons
Keema pancake,raja,tikta,madhura,vata,pitta,mukha,rainy_season
Vegetable pancake,sweet,heating,sweet,Vata+Pitta++,Kapha-,stomach,all seasons
Jam and fruit pancake,sweet,heating,sweet,Vata&Pitta,Kapha,digestive,autumn
Khoa and coconut pancake,,,,,,,
Brown stock,Sweet,heating,sweet,aggravates Vata and Kapha,pacifies Pitta,Head,Winter
Vegetable stock,Rasa: Madhura (Sweet),Virya: Sheet (Cold),Vipaka: Madhura (Sweet),aggravates_dosha: Kapha,pacifies_dosha: Pitta,region: Sarva (All),season: Heman (Winter)
Chicken stock,,,,,,,
Clear tomato soup (Tamatar ka soup),rasa,Katu,Madhura,Vata,Pitta,Urdhvaanga,Autumn
Lentil soup,sweet,cooling,sweet,Vata,Pitta,Digestive,Winter
Chicken consomme (Clear chicken soup),rasa,Katu,Vipak,Aggravates - Kapha,Pacifies - Pitta,Head,Winter
Cream of tomato soup,sweet,heating,sweet,pitta,kapha,digestive,winter
Cream of green peas soup,sweet,cooling,sweet,Vata+Pitta++,Kapha-,Upper body,Winter
Cream of spinach soup,sweet,heating,sweet,Vata+Pitta++,Kapha-,Lung,Winter
Cream of mixed vegetable soup,,,,,,,
Cream of mushroom soup,sweet,heavy,sweet,vata+,kapha-,head,winter
Chicken sweet corn soup,,,,,,,
Minestrone soup,sweet,heating,sweet,Vata+Kapha,Pitta-,Upper,Autumn-Winter
Egg drop soup,rasa,Katu,Vipak,Aggravates-Vata,Pacifies-Kapha,Abdomen,Winter
Chinese cabbage and meat ball soup,Rasa,Kashaya,Amla,Vata++,Kapha+,Head,Winter
French onion soup,Roktas,Tikshna,Katu,Pitta,Kapha,Urdhvaang,Winter
Hot and sour soup,sharp,pungent,sour,aggravates_ Pitta,pacifies_ Kapha,head,autumn
Talaumein soup,sweet,cooling,sweet,Vata,Pitta,digestive,winter
Cold cucumber soup (Thanda kheere ka soup),rasa,cooling,sweet,pitta,kapha,head,summer
Cold summer garden soup,,,,,,,
Chapati/Roti,rasa,Tikta,Katu,Vata,Pitta,Raktamadhya,Ritukala
Plain parantha/paratha,,,,,,,
Potato parantha/paratha (Aloo ka parantha/paratha),rasa,Katu,Vipak,Aggravates-Kapha,Pacifies-Vata,Abdomen,Cold season
Radish parantha/paratha (Mooli ka parantha/paratha),,,,,,,
Cauliflower parantha/paratha (Phoolgobhi ka parantha/paratha),rasa,Tikta (Bitter),Sheeta (Cold),Aggravates - Kapha,Pacifies - Pitta,Stomach,Winter
Dal parantha/paratha,Rasa: Madhura (Sweet),Virya: Sheeta (Cold),Vipaka: Madhura (Sweet),aggravates_dosha: Kapha,pacifies_dosha: Vata,region: Stomach,season: Winter
Sprouted moong parantha/paratha,sweet,heating,sweet,vata,pitta,digestive,summer
Pea parantha/paratha (Matar ka parantha/paratha),rasa,tikta,madhura,katu,rajas,abdomen,spring
Keema parantha/paratha,,,,,,,
Paneer parantha/paratha,rasa,tikta,madhur,katu,rajas,stomach,winter
Besan and spinach parantha/paratha (Besan aur palak ka parantha/paratha),,,,,,,
Poori,sweet,heating,sweet,vata&kapha,pitta,digestive,winter
Spinach poori (Palak poori),,,,,,,
Methi poori,,,,,,,
Dal stuffed poori,sweet,heating,sweet,Vata&Kapha,Pitta,digestive system,winter
Potato stuffed poori (Aloo ki poori),,,,,,,
Tandoori parantha/paratha,rasa,Tikta,Viruddhah,Kapha,Pitta,Urdhvaanga,Rituka
Boiled rice (Uble chawal),Sweet,neutral/slightly pungent,sweet,increases Kapha and Vata,decreases Pitta,Abdomen,All seasons
Plain pulao,rasa,Tikta,Katu,Vata,Pitta,Madya,Grishma
Mixed vegetable pulao,,,,,,,
Mushroom pulao,rasa,tikta,madhura,vatakaphapittarak,vata-kapha-hara,abdomen,autumn
